2025-12-31 19:15:04,869 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/495c887663f12f22ac494593d8313ff0d63326d41c0e179febde860e0279c81b/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '6b59c808-7394-5f67-8753-a9c70bf08ae1', 'Date': 'Wed, 31 Dec 2025 19:15:04 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 19:16:45,034 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/495c887663f12f22ac494593d8313ff0d63326d41c0e179febde860e0279c81b/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '68da9256-10dd-5719-9b56-f39968148d5e', 'Date': 'Wed, 31 Dec 2025 19:16:45 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 19:17:05,099 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/495c887663f12f22ac494593d8313ff0d63326d41c0e179febde860e0279c81b/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'bbc38153-9ffa-5e3e-b93a-e09ce727c865', 'Date': 'Wed, 31 Dec 2025 19:17:05 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 19:17:23,756 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&LogicalResourceId=AWSEBAutoScalingGroup&ContentType=JSON&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A188701360622%3Astack%2Fawseb-e-5v3xfbcd6t-stack%2Fd5e7eea0-e5df-11f0-a0e2-0e2ff02919a1&Version=2010-05-15 [headers: {'x-amzn-RequestId': '573f4a90-9a77-4c5b-acf9-4350f01e997a', 'Date': 'Wed, 31 Dec 2025 19:17:23 GMT', 'Content-Type': 'application/json', 'Content-Length': '22518', 'connection': 'keep-alive'}]
2025-12-31 19:17:24,060 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&LogicalResourceId=AWSEBBeanstalkMetadata&ContentType=JSON&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A188701360622%3Astack%2Fawseb-e-5v3xfbcd6t-stack%2Fd5e7eea0-e5df-11f0-a0e2-0e2ff02919a1&Version=2010-05-15 [headers: {'x-amzn-RequestId': '935df92d-0091-49db-a943-72ba86b293eb', 'Date': 'Wed, 31 Dec 2025 19:17:24 GMT', 'Content-Type': 'application/json', 'Content-Length': '4272', 'connection': 'keep-alive'}]
2025-12-31 19:17:25,127 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/495c887663f12f22ac494593d8313ff0d63326d41c0e179febde860e0279c81b/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '4b1be13a-bab8-5b05-bc3b-80f5c249a725', 'Date': 'Wed, 31 Dec 2025 19:17:25 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 19:17:45,163 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/495c887663f12f22ac494593d8313ff0d63326d41c0e179febde860e0279c81b/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '7e6efed1-a5db-5d28-afa3-9f1edcde9f2c', 'Date': 'Wed, 31 Dec 2025 19:17:45 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 19:18:03,533 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&LogicalResourceId=AWSEBAutoScalingGroup&ContentType=JSON&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A188701360622%3Astack%2Fawseb-e-5v3xfbcd6t-stack%2Fd5e7eea0-e5df-11f0-a0e2-0e2ff02919a1&Version=2010-05-15 [headers: {'x-amzn-RequestId': 'a163fce5-2e80-466e-a6d9-2303001af3e8', 'Date': 'Wed, 31 Dec 2025 19:18:03 GMT', 'Content-Type': 'application/json', 'Content-Length': '22518', 'connection': 'keep-alive'}]
2025-12-31 19:18:03,832 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&LogicalResourceId=AWSEBBeanstalkMetadata&ContentType=JSON&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A188701360622%3Astack%2Fawseb-e-5v3xfbcd6t-stack%2Fd5e7eea0-e5df-11f0-a0e2-0e2ff02919a1&Version=2010-05-15 [headers: {'x-amzn-RequestId': 'dd5317ff-c9f8-4ee5-8851-ff15de01ab07', 'Date': 'Wed, 31 Dec 2025 19:18:03 GMT', 'Content-Type': 'application/json', 'Content-Length': '4272', 'connection': 'keep-alive'}]
2025-12-31 19:18:05,195 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/495c887663f12f22ac494593d8313ff0d63326d41c0e179febde860e0279c81b/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'f536f8a2-7c95-59d6-a07e-996d058c7154', 'Date': 'Wed, 31 Dec 2025 19:18:05 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 19:18:25,231 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/495c887663f12f22ac494593d8313ff0d63326d41c0e179febde860e0279c81b/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'fa7f0016-dc5e-502d-adf9-61d9a573c226', 'Date': 'Wed, 31 Dec 2025 19:18:25 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 19:18:42,524 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&LogicalResourceId=AWSEBAutoScalingGroup&ContentType=JSON&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A188701360622%3Astack%2Fawseb-e-5v3xfbcd6t-stack%2Fd5e7eea0-e5df-11f0-a0e2-0e2ff02919a1&Version=2010-05-15 [headers: {'x-amzn-RequestId': 'ed442427-1274-4e29-a73b-c45ae7736742', 'Date': 'Wed, 31 Dec 2025 19:18:42 GMT', 'Content-Type': 'application/json', 'Content-Length': '22518', 'connection': 'keep-alive'}]
2025-12-31 19:18:42,826 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&LogicalResourceId=AWSEBBeanstalkMetadata&ContentType=JSON&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A188701360622%3Astack%2Fawseb-e-5v3xfbcd6t-stack%2Fd5e7eea0-e5df-11f0-a0e2-0e2ff02919a1&Version=2010-05-15 [headers: {'x-amzn-RequestId': '72e3bb66-8603-425e-aaa6-42399c97f16f', 'Date': 'Wed, 31 Dec 2025 19:18:42 GMT', 'Content-Type': 'application/json', 'Content-Length': '4272', 'connection': 'keep-alive'}]
2025-12-31 19:18:45,264 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/495c887663f12f22ac494593d8313ff0d63326d41c0e179febde860e0279c81b/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '48227d68-d5c2-57fc-abc4-1ca7ac83c021', 'Date': 'Wed, 31 Dec 2025 19:18:45 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 19:19:05,306 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/495c887663f12f22ac494593d8313ff0d63326d41c0e179febde860e0279c81b/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'a18c6d1b-941e-582a-b3c6-0cd4ed4b59a6', 'Date': 'Wed, 31 Dec 2025 19:19:05 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 19:19:20,985 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&LogicalResourceId=AWSEBAutoScalingGroup&ContentType=JSON&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A188701360622%3Astack%2Fawseb-e-5v3xfbcd6t-stack%2Fd5e7eea0-e5df-11f0-a0e2-0e2ff02919a1&Version=2010-05-15 [headers: {'x-amzn-RequestId': 'f0781898-f81d-491f-8c2c-066c0c1cbe85', 'Date': 'Wed, 31 Dec 2025 19:19:20 GMT', 'Content-Type': 'application/json', 'Content-Length': '22518', 'connection': 'keep-alive'}]
2025-12-31 19:19:21,284 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&LogicalResourceId=AWSEBBeanstalkMetadata&ContentType=JSON&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A188701360622%3Astack%2Fawseb-e-5v3xfbcd6t-stack%2Fd5e7eea0-e5df-11f0-a0e2-0e2ff02919a1&Version=2010-05-15 [headers: {'x-amzn-RequestId': '37fd080e-d2a0-4556-91e4-377182093d27', 'Date': 'Wed, 31 Dec 2025 19:19:21 GMT', 'Content-Type': 'application/json', 'Content-Length': '4272', 'connection': 'keep-alive'}]
2025-12-31 19:19:25,338 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/495c887663f12f22ac494593d8313ff0d63326d41c0e179febde860e0279c81b/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '6f3c2ca3-a361-5987-bc58-4d6cda08a89e', 'Date': 'Wed, 31 Dec 2025 19:19:25 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 19:19:45,394 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/495c887663f12f22ac494593d8313ff0d63326d41c0e179febde860e0279c81b/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'ec474f72-04ab-5ed8-9b52-2ebd7dd627e2', 'Date': 'Wed, 31 Dec 2025 19:19:45 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 19:20:00,583 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&LogicalResourceId=AWSEBAutoScalingGroup&ContentType=JSON&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A188701360622%3Astack%2Fawseb-e-5v3xfbcd6t-stack%2Fd5e7eea0-e5df-11f0-a0e2-0e2ff02919a1&Version=2010-05-15 [headers: {'x-amzn-RequestId': '300c1e22-4d3e-47d3-aacd-a7145d0caa18', 'Date': 'Wed, 31 Dec 2025 19:20:00 GMT', 'Content-Type': 'application/json', 'Content-Length': '22518', 'connection': 'keep-alive'}]
2025-12-31 19:20:00,895 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&LogicalResourceId=AWSEBBeanstalkMetadata&ContentType=JSON&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A188701360622%3Astack%2Fawseb-e-5v3xfbcd6t-stack%2Fd5e7eea0-e5df-11f0-a0e2-0e2ff02919a1&Version=2010-05-15 [headers: {'x-amzn-RequestId': 'fde0ce40-49d4-4961-af34-a781817ab876', 'Date': 'Wed, 31 Dec 2025 19:20:00 GMT', 'Content-Type': 'application/json', 'Content-Length': '4272', 'connection': 'keep-alive'}]
2025-12-31 19:20:05,422 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/495c887663f12f22ac494593d8313ff0d63326d41c0e179febde860e0279c81b/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'd7d04710-f03c-5aac-a399-26df89add59f', 'Date': 'Wed, 31 Dec 2025 19:20:05 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 19:20:25,483 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/495c887663f12f22ac494593d8313ff0d63326d41c0e179febde860e0279c81b/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'd1d76043-e5a3-5760-9ec6-018c9c0614cc', 'Date': 'Wed, 31 Dec 2025 19:20:25 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 19:20:41,007 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&LogicalResourceId=AWSEBAutoScalingGroup&ContentType=JSON&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A188701360622%3Astack%2Fawseb-e-5v3xfbcd6t-stack%2Fd5e7eea0-e5df-11f0-a0e2-0e2ff02919a1&Version=2010-05-15 [headers: {'x-amzn-RequestId': '2da3bea1-75f4-4ccc-aa79-249a750d9f78', 'Date': 'Wed, 31 Dec 2025 19:20:41 GMT', 'Content-Type': 'application/json', 'Content-Length': '22518', 'connection': 'keep-alive'}]
2025-12-31 19:20:41,325 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&LogicalResourceId=AWSEBBeanstalkMetadata&ContentType=JSON&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A188701360622%3Astack%2Fawseb-e-5v3xfbcd6t-stack%2Fd5e7eea0-e5df-11f0-a0e2-0e2ff02919a1&Version=2010-05-15 [headers: {'x-amzn-RequestId': '14895779-69d3-4592-b80f-31903d779ac7', 'Date': 'Wed, 31 Dec 2025 19:20:41 GMT', 'Content-Type': 'application/json', 'Content-Length': '4272', 'connection': 'keep-alive'}]
2025-12-31 19:20:45,512 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/495c887663f12f22ac494593d8313ff0d63326d41c0e179febde860e0279c81b/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '9e44bbe5-1e44-51fc-9c66-da2a67fdc7ea', 'Date': 'Wed, 31 Dec 2025 19:20:45 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 19:21:05,570 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/495c887663f12f22ac494593d8313ff0d63326d41c0e179febde860e0279c81b/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'c1090848-7575-5074-8c96-69870cb8ccac', 'Date': 'Wed, 31 Dec 2025 19:21:05 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 19:21:21,025 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&LogicalResourceId=AWSEBAutoScalingGroup&ContentType=JSON&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A188701360622%3Astack%2Fawseb-e-5v3xfbcd6t-stack%2Fd5e7eea0-e5df-11f0-a0e2-0e2ff02919a1&Version=2010-05-15 [headers: {'x-amzn-RequestId': '5c4f7ada-6b1e-4f68-a98b-b4294ee1a0c6', 'Date': 'Wed, 31 Dec 2025 19:21:21 GMT', 'Content-Type': 'application/json', 'Content-Length': '22518', 'connection': 'keep-alive'}]
2025-12-31 19:21:21,326 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&LogicalResourceId=AWSEBBeanstalkMetadata&ContentType=JSON&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A188701360622%3Astack%2Fawseb-e-5v3xfbcd6t-stack%2Fd5e7eea0-e5df-11f0-a0e2-0e2ff02919a1&Version=2010-05-15 [headers: {'x-amzn-RequestId': '97ec74b3-82c6-4313-a159-d6b338341f54', 'Date': 'Wed, 31 Dec 2025 19:21:21 GMT', 'Content-Type': 'application/json', 'Content-Length': '4272', 'connection': 'keep-alive'}]
2025-12-31 19:21:25,598 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/495c887663f12f22ac494593d8313ff0d63326d41c0e179febde860e0279c81b/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '695139c3-b79c-59f7-af24-580cce7db353', 'Date': 'Wed, 31 Dec 2025 19:21:25 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 19:21:45,661 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/495c887663f12f22ac494593d8313ff0d63326d41c0e179febde860e0279c81b/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '04ee7d10-6a99-5415-a594-1cdf136ce4a7', 'Date': 'Wed, 31 Dec 2025 19:21:45 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 19:22:00,580 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&LogicalResourceId=AWSEBAutoScalingGroup&ContentType=JSON&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A188701360622%3Astack%2Fawseb-e-5v3xfbcd6t-stack%2Fd5e7eea0-e5df-11f0-a0e2-0e2ff02919a1&Version=2010-05-15 [headers: {'x-amzn-RequestId': '5fcf0dd2-1c15-4b7c-ac60-cc6c3fe5a667', 'Date': 'Wed, 31 Dec 2025 19:22:00 GMT', 'Content-Type': 'application/json', 'Content-Length': '22518', 'connection': 'keep-alive'}]
2025-12-31 19:22:00,885 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&LogicalResourceId=AWSEBBeanstalkMetadata&ContentType=JSON&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A188701360622%3Astack%2Fawseb-e-5v3xfbcd6t-stack%2Fd5e7eea0-e5df-11f0-a0e2-0e2ff02919a1&Version=2010-05-15 [headers: {'x-amzn-RequestId': '3ec7473f-496f-43af-8e0b-6d96be2bf21d', 'Date': 'Wed, 31 Dec 2025 19:22:00 GMT', 'Content-Type': 'application/json', 'Content-Length': '4272', 'connection': 'keep-alive'}]
2025-12-31 19:22:05,695 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/495c887663f12f22ac494593d8313ff0d63326d41c0e179febde860e0279c81b/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '82e96e51-72dc-5a7e-9713-0f9e08d5c87d', 'Date': 'Wed, 31 Dec 2025 19:22:05 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 19:22:25,749 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/495c887663f12f22ac494593d8313ff0d63326d41c0e179febde860e0279c81b/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '492f1c28-b5d3-5633-a5a7-7de7cfceb44f', 'Date': 'Wed, 31 Dec 2025 19:22:25 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 19:22:41,047 [DEBUG] Response: 200 https://cloudformation.us-east-1.amazonaws.com/?Action=DescribeStackResource&LogicalResourceId=AWSEBAutoScalingGroup&ContentType=JSON&StackName=arn%3Aaws%3Acloudformation%3Aus-east-1%3A188701360622%3Astack%2Fawseb-e-5v3xfbcd6t-stack%2Fd5e7eea0-e5df-11f0-a0e2-0e2ff02919a1&Version=2010-05-15 [headers: {'x-amzn-RequestId': '0e76cb28-02e3-4364-bda2-063444e18396', 'Date': 'Wed, 31 Dec 2025 19:22:41 GMT', 'Content-Type': 'application/json', 'Content-Length': '22518', 'connection': 'keep-alive'}]
